id,quid,question,answer,answer_type,choices,answer_word,facts
32,,calculate the ratio between x and y if 30 % of x equal to 50 % of y ?,b,MULTIPLE_CHOICE,"a ) 4 : 5
b ) 3 : 5
c ) 3 : 7
d ) 3 : 2
e ) 4 : 5",,
33,,"three walls have wallpaper covering a combined area of 300 square meters . by overlapping the wallpaper to cover a wall with an area of 180 square meters , the area that is covered by exactly two layers of wallpaper is 34 square meters . what is the area that is covered with three layers of wallpaper ?",a,MULTIPLE_CHOICE,"a ) 43 square meters
b ) 36 square meters
c ) 42 square meters
d ) 83.3 square meters
e ) 120 square meters",,
34,,"a meeting has to be conducted with 6 managers . find the number of ways in which the managers may be selected from among 9 managers , if there are 2 managers who refuse to attend the meeting together .",e,MULTIPLE_CHOICE,"a ) 36
b ) 40
c ) 42
d ) 45
e ) 49",,
35,,a trader bought a car at 20 % discount on its original price . he sold it at a 40 % increase on the price he bought it . what percent of profit did he make on the original price ?,c,MULTIPLE_CHOICE,"a ) 82 %
b ) 52 %
c ) 12 %
d ) 19 %
e ) 22 %",,
36,,what is the unit digit in the product ( 3 ^ 65 x 6 ^ 59 x 7 ^ 71 ) ?,e,MULTIPLE_CHOICE,"a ) 18
b ) 12
c ) 69
d ) 32
e ) 4",,
37,,"a start walking from a place at a uniform speed of 6 kmph in a particular direction . after half an hour , b starts from the same place and walks in the same direction as a at a uniform speed and overtakes a after 1 hour 48 minutes . find the speed of b .",b,MULTIPLE_CHOICE,"a ) 4.7 kmph
b ) 6.6 kmph
c ) 4 kmph
d ) 7 kmph
e ) 5.3 kmph",,
38,,"oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?",a,MULTIPLE_CHOICE,"a ) 4 th
b ) 5 th
c ) 6 th
d ) 7 th
e ) 8 th",,
39,,"50 percent of the members of a study group are women , and 30 percent of those women are lawyers . if one member of the study group is to be selected at random , what is the probability that the member selected is a woman lawyer ?",e,MULTIPLE_CHOICE,"a ) 0.16
b ) 0.25
c ) 0.45
d ) 0.35
e ) 0.15",,
40,,"the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?",c,MULTIPLE_CHOICE,"a ) 76
b ) 28
c ) 50
d ) 80
e ) 25",,
41,,kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,c,MULTIPLE_CHOICE,"a ) 2 / 5
b ) 7 / 5
c ) 3 / 5
d ) 8 / 15
e ) 1 / 2",,
42,,"$ 350 is divided among a , b , and c so that a receives half as much as b , and b receives half as much as c . how much money is c ' s share ?",c,MULTIPLE_CHOICE,"a ) $ 200
b ) $ 225
c ) $ 250
d ) $ 275
e ) $ 300",,
43,,"in an it company , there are a total of 90 employees including 50 programmers . the number of male employees is 80 , including 35 male programmers . how many employees must be selected to guaranty that we have 3 programmers of the same sex ?",b,MULTIPLE_CHOICE,"a ) 10
b ) 45
c ) 55
d ) 35
e ) 65",,
44,,"the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if arthur and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ?",b,MULTIPLE_CHOICE,"a ) $ 0.32
b ) $ 0.40
c ) $ 0.45
d ) $ 0.48
e ) $ 0.54",,
45,,( 3 x + 1 ) ( 2 x - 5 ) = ax ^ 2 + kx + n . what is the value of a - n + k ?,d,MULTIPLE_CHOICE,"a ) 5
b ) 8
c ) 9
d ) 14
e ) 11",,
46,,"if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?",b,MULTIPLE_CHOICE,"a ) 5
b ) 4
c ) 6
d ) 7
e ) 8",,
47,,the maximum number of students among them 1345 pens and 775 pencils can be distributed in such a way that each student gets the same number of pens and same number of pencils is :,d,MULTIPLE_CHOICE,"a ) 91
b ) 10
c ) 6
d ) 5
e ) none of these",,
48,,"a sum of rs . 1360 has been divided among a , b and c such that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets . b ' s share is :",c,MULTIPLE_CHOICE,"a ) rs . 120
b ) rs . 160
c ) rs . 240
d ) rs . 300
e ) rs . 500",,
49,,"how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .",c,MULTIPLE_CHOICE,"a ) 106
b ) 109
c ) 108
d ) 101
e ) 104",,
50,,two - third of a positive number and 16 / 216 of its reciprocal are equal . find the positive number .,a,MULTIPLE_CHOICE,"a ) 4 / 12
b ) 4 / 17
c ) 4 / 15
d ) 4 / 11
e ) 4 / 03",,
51,,"find large number from below question the difference of two numbers is 1365 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder",d,MULTIPLE_CHOICE,"a ) 1235
b ) 1346
c ) 1378
d ) 1635
e ) 1489",,
52,,the average of first three prime numbers greater than 5 is ?,d,MULTIPLE_CHOICE,"a ) 12.6
b ) 12.9
c ) 22.3
d ) 10.3
e ) 12.7",,
53,,"in a recent election , james received 0.5 percent of the 2,000 votes cast . to win the election , a candidate needed to receive more than 50 percent of the vote . how many additional votes would james have needed to win the election ?",d,MULTIPLE_CHOICE,"a ) 901
b ) 989
c ) 990
d ) 991
e ) 1
001",,
54,,"if 12 : 8 : : x : 16 , then find the value of x",b,MULTIPLE_CHOICE,"a ) 18
b ) 24
c ) 28
d ) 16
e ) 20",,
55,,what least number must be subtracted from 3832 so that the remaining number is divisible by 5 ?,b,MULTIPLE_CHOICE,"a ) 1
b ) 2
c ) 3
d ) 4
e ) 5",,
56,,find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,c,MULTIPLE_CHOICE,"a ) 15840
b ) 3388
c ) 4200
d ) 8766
e ) 66711",,
57,,"how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?",c,MULTIPLE_CHOICE,"a ) 5600
b ) 6000
c ) 237
d ) 7200
e ) 8600",,
58,,"spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?",a,MULTIPLE_CHOICE,"a ) 144 hours
b ) 124 hours
c ) 134 hours
d ) 154 hours
e ) 164 hours",,
59,,a began business with rs . 45000 and was joined afterwards by b with rs . 5400 . when did b join if the profits at the end of the year were divided in the ratio of 2 : 1 ?,a,MULTIPLE_CHOICE,"a ) 7
b ) 8
c ) 9
d ) 6
e ) 5",,
60,,"a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?",c,MULTIPLE_CHOICE,"a ) 15 hours
b ) 14 hours
c ) 12 hours
d ) 74 hours
e ) 79 hours",,
61,,how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,d,MULTIPLE_CHOICE,"a ) 48
b ) 36
c ) 26
d ) 39
e ) 18",,
62,,today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?,d,MULTIPLE_CHOICE,"a ) 1 day
b ) 2 days
c ) 7 days
d ) 6 days
e ) 10 days",,
63,,"an article is bought for rs . 675 and sold for rs . 1100 , find the gain percent ?",c,MULTIPLE_CHOICE,"a ) 65 %
b ) 64 %
c ) 63 %
d ) 62 %
e ) 61 %",,
64,,"in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :",d,MULTIPLE_CHOICE,"a ) 2
b ) 4
c ) 7
d ) 12
e ) 15",,
65,,"a salesperson received a commission of 3 percent of the sale price for each of the first 100 machines that she sold and 4 percent of the sale price for each machine that she sold after the first 100 . if the sale price of each machine was $ 10,000 and the salesperson received a $ 45,000 commission , how many machines did she sell ?",a,MULTIPLE_CHOICE,"a ) 140
b ) 103
c ) 105
d ) 115
e ) 120",,
66,,solve the equation for x : 6 x - 27 + 3 x = 4 + 9 - x,d,MULTIPLE_CHOICE,"a ) 1
b ) 2
c ) 3
d ) 4
e ) 5",,
67,,a profit of rs . 900 is divided between x and y in the ratio of 1 / 2 : 1 / 3 . what is the difference between their profit shares ?,b,MULTIPLE_CHOICE,"a ) s . 280
b ) s . 180
c ) s . 380
d ) s . 50
e ) s . 90",,
68,,"a is two years older than b who is twice as old as c . if the total of the ages of a , b and c be 27 , the how old is b ?",e,MULTIPLE_CHOICE,"a ) 7
b ) 9
c ) 8
d ) 11
e ) 10",,
69,,"calculate the share of y , if rs . 2880 is divided among x , y and z in the ratio 3 : 5 : 8 ?",a,MULTIPLE_CHOICE,"a ) 540
b ) 520
c ) 140
d ) 560
e ) 240",,
70,,"3 years ago , paula was 3 times as old as karl . in 9 years , paula will be twice as old as karl . what is the sum of their ages now ?",d,MULTIPLE_CHOICE,"a ) 42
b ) 46
c ) 50
d ) 54
e ) 58",,
71,,a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?,c,MULTIPLE_CHOICE,"a ) 90
b ) 120
c ) 60
d ) 95
e ) 75",,
72,,"if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream",c,MULTIPLE_CHOICE,"a ) 6 kmph
b ) 5 kmph
c ) 2 kmph
d ) 3 kmph
e ) 4 kmph",,
73,,the digital sum of a number is the sum of its digits . for how many of the positive integers 24 - 140 inclusive is the digital sum a multiple of 7 ?,d,MULTIPLE_CHOICE,"a ) 7
b ) 8
c ) 14
d ) 15
e ) 20",,
74,,the ratio of 2 numbers is 2 : 5 and their h . c . f . is 6 . their l . c . m . is ?,e,MULTIPLE_CHOICE,"a ) 20
b ) 24
c ) 52
d ) 36
e ) 60",,
75,,"20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?",a,MULTIPLE_CHOICE,"a ) 10 .
b ) 4 .
c ) 5 .
d ) 6
e ) 8 .",,
76,,"if a student loses 6 kilograms , he will weigh twice as much as his sister . together they now weigh 126 kilograms . what is the student ' s present weight in kilograms ?",c,MULTIPLE_CHOICE,"a ) 82
b ) 84
c ) 86
d ) 88
e ) 90",,
77,,a person buys an article at rs . 575 . at what price should he sell the article so as to make a profit of 15 % ?,d,MULTIPLE_CHOICE,"a ) 600
b ) 277
c ) 269
d ) 661.25
e ) 281",,
78,,"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?",a,MULTIPLE_CHOICE,"a ) 41.4
b ) 34.1
c ) 13.4
d ) 12.4
e ) 10.8",,
79,,"an amount of rs . 1638 was divided among a , b and c , in the ratio 1 / 2 : 1 / 3 : 1 / 4 . find the share of a ?",c,MULTIPLE_CHOICE,"a ) 656
b ) 456
c ) 756
d ) 745
e ) 720",,
80,,what least value should be replaced by * in 2551112 * so the number become divisible by 6,b,MULTIPLE_CHOICE,"a ) 3
b ) 4
c ) 5
d ) 6
e ) 7",,
81,,what number is obtained by adding the units digits of 734 ^ 100 and 347 ^ 83 ?,c,MULTIPLE_CHOICE,"a ) 7
b ) 8
c ) 9
d ) 10
e ) 11",,
82,,"in two triangles , the ratio of the areas is 4 : 3 and the ratio of their heights is 3 : 4 . find the ratio of their bases .",c,MULTIPLE_CHOICE,"['a ) 2 : 3'
'b ) 4 : 5'
'c ) 16 : 9'
'd ) 7 : 9'
'e ) 8 : 5']",,
83,,a trader sells 40 metres of cloth for rs . 8200 at a profit of rs . 15 per metre of cloth . how much profit will the trder earn on 40 metres of cloth ?,c,MULTIPLE_CHOICE,"a ) rs . 950
b ) rs . 1500
c ) rs . 600
d ) rs . 1200
e ) none of these",,
84,,what is the probability of drawing a queen from a deck of 52 cards ?,b,MULTIPLE_CHOICE,"a ) 4 / 13
b ) 1 / 13
c ) 4
d ) 1
e ) 2 / 13",,
85,,a thief goes away with a santro car at a speed of 50 kmph . the theft has been discovered after half an hour and the owner sets off in a bike at 60 kmph when will the owner over take the thief from the start ?,a,MULTIPLE_CHOICE,"a ) a ) 2
b ) b ) 5
c ) c ) 7
d ) d ) 5
e ) e ) 8",,
86,,the average weight of 18 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg . find the average weights of all the boys in the class .,a,MULTIPLE_CHOICE,"a ) 48.68077
b ) 42.25983
c ) 50
d ) 51.25388
e ) 52.25",,
87,,"how many words , with or without meaning , can be formed using all letters of the word good using each letter exactly once ?",e,MULTIPLE_CHOICE,"a ) 18
b ) 20
c ) 22
d ) 23
e ) 24",,
88,,"in right triangle abc , ac is the hypotenuse . if ac is 40 and ab + bc = 60 , what is the area of the triangle abc ?",d,MULTIPLE_CHOICE,"a ) 225
b ) 450
c ) 25 √ 2
d ) 500
e ) 200 √ 2",,
89,,the ratio of the area of a square to that of the square drawn on its diagonal is,a,MULTIPLE_CHOICE,"a ) 1 : 2
b ) 1 : 0
c ) 1 : 7
d ) 1 : 5
e ) 1 : 6",,
90,,a 4 digit number divisible by 7 becomes divisible by 3 when 19 is added to it . the largest such number is :,d,MULTIPLE_CHOICE,"a ) 4461
b ) 4473
c ) 4479
d ) 4487
e ) 4491",,
91,,what is the probability for a family with 3 children to have a girl and two boys ( assuming the probability of having a boy or a girl is equal ) ?,d,MULTIPLE_CHOICE,"a ) 1 / 8
b ) 1 / 4
c ) 1 / 2
d ) 3 / 8
e ) 5 / 8",,
92,,"a manufacturer produces a certain men ' s athletic shoe in integer sizes from 8 to 17 . for this particular shoe , each unit increase in size corresponds to a 1 / 5 - inch increase in the length of the shoe . if the largest size of this shoe is 30 % longer than the smallest size , how long , in inches , is the shoe in size 15 ?",b,MULTIPLE_CHOICE,"a ) 6.8
b ) 7.4
c ) 7.7
d ) 8.2
e ) 8.6",,
93,,if x + | x | + y = 7 and x + | y | - y = 5 what is x + y = ?,d,MULTIPLE_CHOICE,"a ) 1
b ) - 1
c ) 3
d ) 5
e ) 13",,
94,,a 240 m long train running at the speed of 120 km / hr crosses another train running in opposite direction at the speed of 80 km / hr in 9 sec . what is the length of the other train ?,a,MULTIPLE_CHOICE,"a ) 260
b ) 250
c ) 240
d ) 230
e ) 220",,
95,,"34 . the side surface of a cylinder is rolled with a rectangular plate . if the perimeter of the circular base is 9 feet , and the diagonal of the rectangular plate was 15 ft . what is height of the of the cylinder ?",a,MULTIPLE_CHOICE,"['a ) 12'
'b ) 15'
'c ) 10'
'd ) 8'
'e ) 14']",,
96,,what quantity of water should be added to reduce 9 liters of 50 % acidic liquid to 30 % acidic liquid ?,a,MULTIPLE_CHOICE,"a ) 6 liters
b ) 8 liters
c ) 10 liters
d ) 12 liters
e ) 15 liters",,
97,,"a man gains 20 % by selling an article for a certain price . if the sells it at double the price , the percentage of profit will be :",d,MULTIPLE_CHOICE,"a ) 327
b ) 140
c ) 277
d ) 178
e ) 112",,
98,,"the average weight of 20 persons sitting in a boat had some value . a new person added to them whose weight was 46 kg only . due to his arrival , the average weight of all the persons decreased by 5 kg . find the average weight of first 20 persons ?",e,MULTIPLE_CHOICE,"a ) 55
b ) 56
c ) 57
d ) 58
e ) 59",,
99,,"a and b can together finish a work in 40 days . they worked together for 10 days and then b left . after another 18 days , a finished the remaining work . in how many days a alone can finish the job ?",b,MULTIPLE_CHOICE,"a ) 10
b ) 24
c ) 60
d ) 30
e ) 20",,
100,,"a student gets 55 % in one subject , 65 % in the other . to get an overall of 55 % how much should get in third subject .",c,MULTIPLE_CHOICE,"a ) 75 %
b ) 25 %
c ) 45 %
d ) 55 %
e ) 65 %",,
101,,"in an election between two candidates , the winner has a margin of 10 % of the votes polled . if 4000 people change their mind and vote for the loser , the loser would have won by a margin of 10 % of the votes polled . find the total number of votes polled in the election ?",c,MULTIPLE_CHOICE,"a ) 16000
b ) 10000
c ) 40000
d ) 12000
e ) 5000",,
102,,"there are 28 stations between ernakulam and chennai . how many second class tickets have to be printed , so that a passenger can travel from one station to any other station ?",d,MULTIPLE_CHOICE,"a ) 800
b ) 820
c ) 850
d ) 870
e ) 900",,
103,,what percent is 7 gm of 1 kg ?,a,MULTIPLE_CHOICE,"a ) 0.7 %
b ) 0.5 %
c ) 2.5 %
d ) 3.5 %
e ) 4 %",,
104,,the wages earned by robin is 40 % more than that earned by erica . the wages earned by charles is 60 % more than that earned by erica . how much percent is the wages earned by charles more than that earned by robin ?,a,MULTIPLE_CHOICE,"a ) 14 %
b ) 23 %
c ) 30 %
d ) 50 %
e ) 100 %",,
105,,"25 is subtracted from 75.00001 % of a number , the result is 50 . find the number ?",e,MULTIPLE_CHOICE,"a ) 150
b ) 75
c ) 125
d ) 95
e ) 100",,
106,,"an association of mathematics teachers has 1,500 members . only 525 of these members cast votes in the election for president of the association . what percent of the total membership voted for the winning candidate if the winning candidate received 60 percent of the votes cast ?",e,MULTIPLE_CHOICE,"a ) 75 %
b ) 58 %
c ) 42 %
d ) 34 %
e ) 21 %",,
107,,half a number plus 7 is 11 . what is the number ?,a,MULTIPLE_CHOICE,"a ) 8
b ) 9
c ) 10
d ) 11
e ) 12",,
108,,"if 5 % more is gained by selling an article for rs . 1000 than by selling it for rs . 20 , the cost of the article is ?",b,MULTIPLE_CHOICE,"a ) 127
b ) 1600
c ) 1200
d ) 1680
e ) 1800",,
109,,"of the total amount that jill spent on a shopping trip , excluding taxes , she spent 25 percent on clothing , 25 percent on food , and 50 percent on other items . if jill paid a 10 percent tax on the clothing , no tax on the food , and an 2 percent tax on all other items , then the total tax that she paid was what percent of the total amount that she spent , excluding taxes ?",d,MULTIPLE_CHOICE,"a ) 3
b ) 4.5
c ) 4
d ) 3.5
e ) 5",,
110,,"in a certain pond , 55 fish were caught , tagged , and returned to the pond . a few days later , 55 fish were caught again , of which 2 were found to have been tagged . if the percent of tagged fish in the second catch approximates the percent of tagged fish in the pond , what ` s the approximate number of fish in the pond ?",d,MULTIPLE_CHOICE,"a ) 400
b ) 625
c ) 1250
d ) 1528
e ) 10 000",,
111,,how many 1 / 6 s are there in 37 1 / 2 ?,a,MULTIPLE_CHOICE,"a ) 225
b ) 425
c ) 520
d ) 600
e ) 700",,
112,,"what is the smallest positive perfect square that is divisible by 4 , 9 , and 18 ?",a,MULTIPLE_CHOICE,"a ) 36
b ) 81
c ) 144
d ) 625
e ) 900",,
113,,the ratio between the present ages of a and b is 7 : 3 respectively . the ratio between a ' s age 4 years ago and b ' s age 4 years hence is 1 : 1 . what is the ratio between a ' s age 4 years hence and b ' s age 4 years ago ?,c,MULTIPLE_CHOICE,"a ) 3 : 4
b ) 3 : 0
c ) 9 : 1
d ) 9 : 2
e ) 3 : 9",,
114,,two vessels contains equal number of mixtures milk and water in the ratio 3 : 2 and 4 : 1 . both the mixtures are now mixed thoroughly . find the ratio of milk to water in the new mixture so obtained ?,d,MULTIPLE_CHOICE,"a ) 1 : 3
b ) 9 : 13
c ) 5 : 11
d ) 7 : 3
e ) 15 : 4",,
115,,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ?",d,MULTIPLE_CHOICE,"a ) 1 / 2
b ) 1 / 4
c ) 1 / 13
d ) 1 / 26
e ) 1 / 52",,
116,,"if sharon ' s weekly salary increased by 15 percent , she would earn $ 460 per week . if instead , her weekly salary were to increase by 10 percent , how much would she earn per week ?",b,MULTIPLE_CHOICE,"a ) rs . 400
b ) rs . 440
c ) rs . 150
d ) rs . 460
e ) rs . 520",,
117,,a fruit seller had some oranges . he sells 10 % oranges and still has 360 oranges . how many oranges he had originally ?,d,MULTIPLE_CHOICE,"a ) 420
b ) 700
c ) 220
d ) 400
e ) none of these",,
118,,"because he ’ s taxed by his home planet , mork pays a tax rate of 40 % on his income , while mindy pays a rate of only 20 % on hers . if mindy earned 4 times as much as mork did , what was their combined tax rate ?",b,MULTIPLE_CHOICE,"a ) 22.5 %
b ) 24 %
c ) 30 %
d ) 33 %
e ) 20 %",,
