id,quid,question,answer,answer_type,choices,answer_word,facts
131,,"Revenues were recorded for Store A and Store B over a period of three months. In the first month, Store A's revenues were $40,000 higher than Store B's revenues. In the second month, Store A's revenues were $6,000 higher than Store B's revenues. If Store A's average (arithmetic mean) monthly revenue for the three months was $2,000 greater than Store B's average monthly revenue, then Store B's revenue in the third month was how much greater than Store A's revenue?",B,MULTIPLE_CHOICE,"A) $14,000
B) $40,000
C) $42,000
D) $46,000
E) $50,000",,
132,,"some digits were given like 0 2 2 3 3 4 4 then how many no will be there which is greater than 1 lac ,all numbers are distinct",B,MULTIPLE_CHOICE,"A)530
B)540
C)550
D)560
E)570",,
133,,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,B,MULTIPLE_CHOICE,"A)600
B)698
C)675
D)688
E)900",,
134,,Each of the following equations has at least one solution EXCEPT D. Is it true?,D,MULTIPLE_CHOICE,"A)-2*-a = 2a
B)2*a = (–2)*-a
C)-4*a = -3-a
D)-3*a = -3-a
E)(–2)-a = –2-a",,
135,,10 people went to a hotel for combine dinner party 5 of them spent Rs. 20 each on their dinner and rest spent 4 more than the average expenditure of all the 10. What was the total money spent by them.,D,MULTIPLE_CHOICE,"A)1628.4
B)1534
C)1492
D)240
E)None of these",,
136,,"If x is the product of the integers from 1 to 150, inclusive, and 5^y is a factor of x, what is the greatest possible value of y ?",D,MULTIPLE_CHOICE,"A)30
B)34
C)36
D)37
E)39",,
137,,"Product M is produced by mixing chemical X and chemical Y in the ratio of 5 : 4. Chemical X is prepared by mixing two raw materials, A and B, in the ratio of 1 : 3. Chemical Y is prepared by mixing raw materials, B and C, in the ratio of 2 : 1. Then the final mixture is prepared by mixing 864 units of product M with water. If the concentration of the raw material B in the final mixture is 50%, how much water had been added to product M?",B,MULTIPLE_CHOICE,"A)328 units
B)368 units
C)392 units
D)616 units
E)None of the above",,
138,,"In a 4 person race, medals are awarded to the fastest 3 runners. The first-place runner receives a gold medal, the second-place runner receives a silver medal, and the third-place runner receives a bronze medal. In the event of a tie, the tied runners receive the same color medal. (For example, if there is a two-way tie for first-place, the top two runners receive gold medals, the next-fastest runner receives a silver medal, and no bronze medal is awarded). Assuming that exactly three medals are awarded, and that the three medal winners stand together with their medals to form a victory circle, how many Z different victory circles are possible?",B,MULTIPLE_CHOICE,"A)24
B)52
C)96
D)144
E)648",,
139,,"X completes a work in 20 days and Y complete the same work in 30 days. If both of them work together, then the number of days required to complete the work will be?",B,MULTIPLE_CHOICE,"A)10 days.
B)12 days.
C)14 days.
D)8 days.
E)20 days.",,
140,,A chair is bought for Rs.300/- and sold at Rs.420/- find gain or loss percentage,B,MULTIPLE_CHOICE,"A)15% loss
B)40% gain
C)25% gain
D)30% gain
E)35% gain",,
141,,What is the least number to be subtracted from 696 to make it a perfect square?,C,MULTIPLE_CHOICE,"A)1
B)16
C)20
D)71
E)60",,
142,,"There are 8 books on a shelf, of which 2 are paperbacks and 6 are hardbacks. How many possible selections of 3 books from this shelf include at least one paperback?",C,MULTIPLE_CHOICE,"A)a) 40
B)b) 45
C)c) 36
D)d) 55
E)e) 60",,
143,,"If a sum of money doubles itself in 20 years at simple interest, the ratepercent per annum is",D,MULTIPLE_CHOICE,"A)12
B)12.5
C)13
D)5
E)14",,
144,,"In a fuel station the service costs $1.15 per car, every liter of fuel costs 0.4$. Assuming that you own 2 sports cars and 2 executive cars and all fuel tanks are empty. How much will it cost to fuel all cars together if a sports car tank is 32 liters and an executive car tank is 75% bigger?",B,MULTIPLE_CHOICE,"A)37.5$
B)75$
C)87.5$
D)94.5$
E)98.4$",,
145,,"Choose the missing terms out of the given alternatives.
AZ, BY, CX, DW ?",C,MULTIPLE_CHOICE,"A)EF
B)GH
C)EV
D)DW
E)KN",,
146,,Company Z spent 1/4 of its revenues last year on marketing and 1/7 of the remainder on maintenance of its facilities. What fraction of last year’s original revenues did company Z have left after its marketing and maintenance expenditures?,D,MULTIPLE_CHOICE,"A)5/14
B)1/2
C)17/28
D)9/14
E)9/11",,
147,,A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?,A,MULTIPLE_CHOICE,"A)40 sec
B)42 sec
C)45 sec
D)48 sec
E)58 sec",,
148,,What is the scope including 1/21+1/22+1/23+......+1/30?,D,MULTIPLE_CHOICE,"A)1/6~1/5
B)1/5~1/4
C)1/4~1/3
D)1/3~1/2
E)1/2~1",,
149,,"Company A has 13 employees, 9 of whom belong to the union. If 5 people work any one shift, and the union contract specifies that at least 4 union members work each shift, then how many different combinations of employees might work any given shift?",E,MULTIPLE_CHOICE,"A)56
B)231
C)336
D)350
E)756",,
150,,"A bag contains 5 red, 2 green balls. 3 balls are drawn randomly. What is the probability that balls drawn contain exactly two green balls?",A,MULTIPLE_CHOICE,"A)1/7
B)2/9
C)3/11
D)4/17
E)2/3",,
151,,A woman complete a journey in 20 hours. She travels first half of the journey at the rate of 21 km/hr and second half at the rate of 24 km/hr. Find the total journey in km.,D,MULTIPLE_CHOICE,"A)334 km.
B)216 km.
C)314 km.
D)448 km.
E)544 km.",,
152,,"The average height in a group of 4 people is 175 cm. If the average height increased when 2 more people were added to the group, which of the following cannot be the heights of the two new people?",B,MULTIPLE_CHOICE,"A)179 cm and 172 cm
B)181 cm and 169 cm
C)173 cm and 178 cm
D)176 cm and 176 cm
E)174 cm and 177 cm",,
153,,"The sum of the present ages of two persons A and B is 60. If the age of A is twice that of B, find the sum of their ages 5 years hence?",A,MULTIPLE_CHOICE,"A)70
B)55
C)60
D)65
E)80",,
154,,Find the number which when multiplied by 15 is increased by 196.,A,MULTIPLE_CHOICE,"A)14
B)20
C)26
D)28
E)30",,
155,,"A number X equals 80% of the average of 5, 7, 14 and a number Y. If the average of X and Y is 26, the value of Y is?",C,MULTIPLE_CHOICE,"A)13
B)26
C)39
D)36
E)None of these",,
156,,"A man covers a distance on scooter. Had he moved 3kmph faster he would have taken 40 min less. If he had moved 2kmph slower, he would have taken 40min more. The distance is.",B,MULTIPLE_CHOICE,"A)30 km
B)40 km
C)45 km
D)50 km
E)55 km",,
157,,"The number of livestock in a farm at the beginning of year 2000 was 130,000. During the year, the number increased by p%. During the next year 2001, there was a famine and the number decreased by q%. A census at the end of year 2001 revealed that the number of livestock in the farm was 130,000. Which of the following expressions is correct?",D,MULTIPLE_CHOICE,"A)With the exception of 1 instance, p will be equal to q
B)q > p
C)p = q
D)p > q
E)There is no relation between p and q",,
158,,If 3 men or 4 women can reap a field in 10 days how long will 5 men and 6 women take to reap it?,A,MULTIPLE_CHOICE,"A)19/60
B)9/60
C)2/3
D)5/18
E)6/24",,
159,,What is the greatest possible value of integer n if 100! is divisible by 15^n,E,MULTIPLE_CHOICE,"A)20
B)21
C)22
D)23
E)24",,
160,,"Find the invalid no.from the following series 15, 16, 34, 105, 424, 2124, 12756",E,MULTIPLE_CHOICE,"A)15
B)16
C)34
D)105
E)2124",,
161,,"On Monday, a certain animal shelter housed 45 cats and dogs. By Friday, 1/5 of the cats and 1/4 of the dogs had been adopted; no new cats or dogs were brought to the shelter during this period. What is the greatest possible number of pets that could have been adopted from the animal shelter between Monday and Friday?",B,MULTIPLE_CHOICE,"A)10
B)11
C)12
D)13
E)14",,
162,,"A shopkeeper gave an additional 20 per cent concession on the reduced price after giving 30 per cent standard concession on an article. If Arun bought that article for 1,120, what was the original price?",D,MULTIPLE_CHOICE,"A)3,000
B)4,000
C)2,400
D)2,000
E)None of these",,
163,,The total age of A and B is 10 years more than the total age of B and C. C is how many years younger than A.?,C,MULTIPLE_CHOICE,"A)16
B)12
C)10
D)20
E)10",,
164,,"In an election between two candidates, 10% of votes are were declares invalid. First candidate got 3600 votes which were 60% of the total valid votes . The total number of votes enrolled in that election was:",C,MULTIPLE_CHOICE,"A)9000
B)98000
C)20000
D)11000
E)12000",,
165,,"Find a 8 digit number that if multiplied by the number 9 or any of its multiplications products (18, 27, 36, 45,..) will result in the multiplication factor repeated (n) number of times.",A,MULTIPLE_CHOICE,"A)12345679
B)42345675
C)22347379
D)52345673
E)21345679",,
166,,A and B invests Rs.3000 and Rs.7000 respectively in a business. If A doubles his capital after 6 months. In what ratio should A and B divide that year's profit?,C,MULTIPLE_CHOICE,"A)9:6
B)9:8
C)9:14
D)9:9
E)9:5",,
167,,"A man saves 20% of his monthly salary. If an account of dearness of things he is to increase his monthly expenses by 20%, he is only able to save Rs. 200 per month. What is his monthly salary?",A,MULTIPLE_CHOICE,"A)5000
B)2889
C)2779
D)6257
E)5362",,
168,,"A boat covers a certain distance downstream in 1 hour, while it comes back in 11â„2 hours. If the speed of the stream be 3 kmph, what is the speed of the boat in still water?",D,MULTIPLE_CHOICE,"A)31 kmph
B)16 kmph
C)19 kmph
D)15 kmph
E)14 kmph",,
169,,"A and B invests Rs.4000 and Rs.6000 in a business. After 4 months, A withdraws three-fourth of his capital and 4 months later, B withdraws half of his capital. In what ratio should they share the profits at the end of the year?",A,MULTIPLE_CHOICE,"A)2:5
B)3:5
C)4:5
D)3:7
E)5:7",,
170,,"0.5, 0.55, 0.65, 0.8, ?",D,MULTIPLE_CHOICE,"A)0.7
B)0.9
C)0.95
D)1
E)2",,
171,,"If 15 women or 10 men can complete a project in 55 days, in how many days will 5 women and 4 men working together complete the same project ?",A,MULTIPLE_CHOICE,"A)75
B)8
C)9
D)85
E)None of these",,
172,,"If n is a positive integer and n^2 is divisible by 450, then what is the largest positive integer that must divide n?",C,MULTIPLE_CHOICE,"A)10
B)20
C)30
D)40
E)50",,
173,,Two pipes A and B can separately fill a cistern in 10 and 15 minutes respectively. A person opens both the pipes together when the cistern should have been was full he finds the waste pipe open. He then closes the waste pipe and in another 4 minutes the cistern was full. In what time can the waste pipe empty the cistern when fill?,B,MULTIPLE_CHOICE,"A)6
B)8
C)7
D)4
E)1",,
174,,"A certain club has 14 members, including Harry. One of the 14 members is to be chosen at random to be the president, one of the remaining 13 members is to be chosen at random to be the secretary, and one of the remaining 12 members is to be chosen at random to be the treasurer. What is the probability that Harry will either be the secretary or the member chosen to be the treasurer?",D,MULTIPLE_CHOICE,"A)5/7
B)4/7
C)3/7
D)1/7
E)2/7",,
175,,"Afreena walks 8 km towards East and then walks 13 km back, then she turns left and walks 4 km; then walks 5 km after turning left; she turns left again and walks 3 km. How far is she from the starting point ?",C,MULTIPLE_CHOICE,"A)3 km
B)2 km
C)1 km
D)6 km
E)7 km",,
176,,"A coed soccer team has W women and M men on the team. If 4 women and 2 men are added to the team roster, and if one person on the team is selected at random to serve as team captain, then the probability that the team captain will be a woman can be represented as",A,MULTIPLE_CHOICE,"A)(W + 4)/(W + M + 6)
B)(W + 4)/(W + M + 2)
C)(W + 4)/(M + 2)
D)(W + 4)/(W + M)
E)W/M",,
177,,"A man is 30 years older than his son. In two years, his age will be twice the age of his son. The present age of the son is",B,MULTIPLE_CHOICE,"A)14 years
B)28 years
C)20 years
D)22 years
E)None",,
178,,"Chris mixed 3 pounds of raisins with 3 pounds of nuts. If a pound of nuts costs 3 times as much as a pound of raisins, then the total cost of the raisins was what fraction of the total cost of the mixture?",C,MULTIPLE_CHOICE,"A) 1/7
B) 1/5
C) 1/4
D) 1/3
E) 3/7",,
179,,"If 2^(2w) = 8^(w−2), what is the value of w?",B,MULTIPLE_CHOICE,"A)3
B)6
C)9
D)12
E)15",,
180,,A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min. 48 sec fast at 2 p.m. on the following Monday. When was it correct?,B,MULTIPLE_CHOICE,"A)2 p.m. on Tuesday
B)2 p.m. on Wednesday
C)3 p.m. on Thursday
D)1 p.m. on Friday
E)None",,
181,,"Otto and Han are driving at constant speeds in opposite directions on a straight highway. At a certain time they are driving toward each other and are 40 miles apart. One and a half hours later, they are again 40 miles apart, driving away from each other. If Otto drives at a speed of x miles per hour, then, in terms of x, Han drives at a speed of how many miles per hour?",B,MULTIPLE_CHOICE,"A)a) 80-x
B)b) 53.33-x
C)c) 80-2x
D)d) 120-x
E)e) 40-x/2",,
182,,The angle between two hands at 3.45 is,E,MULTIPLE_CHOICE,"A)110 degree
B)115 degree
C)112 1/2 degree
D)117 degree
E)157 1/2 degree",,
183,,A jeep takes 4 hours to cover a distance of 620 Km. how much should the speed in Kmph be maintained to cover the same direction in 3/2th of the previous time?,D,MULTIPLE_CHOICE,"A)148 Kmph
B)152 Kmph
C)106 Kmph
D)103 Kmph
E)165 Kmph",,
184,,Find at what time between 8 and 9 o'clock will the hands of a clock be in the same straight line but not together.,B,MULTIPLE_CHOICE,"A)10x11/10
B)10x10/11
C)11x10/11
D)12x10/11
E)None",,
185,,"On Sunday morning, Pugsley and Wednesday are trading pet spiders. If Pugsley were to give Wednesday four of his spiders, Wednesday would then have four times as many spiders as Pugsley does. But, if Wednesday were to give Pugsley five of her spiders, Pugsley would now have five fewer spiders than Wednesday had before they traded. How many pet spiders does Pugsley have before the trading game commences?",D,MULTIPLE_CHOICE,"A)6
B)7
C)8
D)10
E)12",,
186,,"To apply for the position of photographer at a local magazine, a photographer needs to include two or three photos in an envelope accompanying the application. If the photographer has pre-selected six photos representative of her work, how many choices does she have to provide the photos for the magazine?",B,MULTIPLE_CHOICE,"A)32
B)35
C)36
D)40
E)42",,
187,,"If x is an integer and y = 3x + 2, which of the following CANNOT be a divisor of y?",C,MULTIPLE_CHOICE,"A)4
B)5
C)6
D)7
E)8",,
188,,"A book store bought copies of a new book by a popular author, in anticipation of robust sales. The store bought 400 copies from their supplier, each copy at wholesale price W. The store sold the first 150 copies in the first week at 80% more than W, and then over the next month, sold a 100 more at 20% more than W. Finally, to clear shelf space, the store sold the remaining copies to a bargain retailer at 40% less than W. What was the bookstore’s net percent profit or loss on the entire lot of 400 books?",D,MULTIPLE_CHOICE,"A)30% loss
B)10% loss
C)10% profit
D)20% profit
E)60% profit",,
189,,"A committee of 2 people is to be selected out of 3 teachers and 4 preachers. If the committee is selected at random, what is the probability that the committee will be composed of at least 1 preacher?",D,MULTIPLE_CHOICE,"A)1/4
B)1/3
C)2/3
D)6/7
E)8/9",,
190,,"If 73! has 16 zeroes at the end, how many zeroes will 80! have at the end?",D,MULTIPLE_CHOICE,"A)16
B)17
C)18
D)19
E)20",,
191,,"Mary's income is 60 percent more than Tim's income, and Tim's income is 40 percent less than Juan's income. What percent of Juan's income is Mary's income?",C,MULTIPLE_CHOICE,"A)124%
B)120%
C)96%
D)80%
E)64%",,
192,,Y and Z start a business with Rs.3000 and Rs.6000 respectively. How should they share their profits at the end of one year?,E,MULTIPLE_CHOICE,"A)4:1
B)1:3
C)1:4
D)1:5
E)1:2",,
193,,"If 100!/x is not an integer, which of the following could be the value of x?",E,MULTIPLE_CHOICE,"A)5^24
B)7^16
C)11^9
D)13^6
E)17^6",,
194,,"P is two years older than Q who is twice as old as R. The total of the ages of P, Q and R is 25. How old is Q?",D,MULTIPLE_CHOICE,"A)7.2 years
B)8.2 years
C)9.8 years
D)9.2 years
E)9.4 years",,
195,,"A man can row with a speed of 20 kmph in still water. If the stream flows at 7 kmph, then the speed in downstream is?",D,MULTIPLE_CHOICE,"A)27
B)23
C)20
D)27
E)12",,
196,,"A theater box office sold an average (arithmetic mean) of 65 tickets per staff member to a particular movie. Among the daytime staff, the average number sold per member was 75, and among the evening staff, the average number sold was 60. If there are no other employees, what was the ratio of the number of daytime staff members to the number of evening staff members?",A,MULTIPLE_CHOICE,"A)1:2
B)1:4
C)5:11
D)1:3
E)13:15",,
197,,"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Four years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand's present age in years?",D,MULTIPLE_CHOICE,"A)A)24
B)B)89
C)C)67
D)D)32
E)E)45",,
198,,"If a man can cover 18 metres in one second, how many kilometres can he cover in 3 hours 45 minutes?",E,MULTIPLE_CHOICE,"A)288
B)162
C)878
D)168
E)243",,
199,,How many meaningful English words can be formed with the letters ESRO using each letter only once in each word?,B,MULTIPLE_CHOICE,"A)1
B)3
C)4
D)8
E)9",,
